-0.5 -0.5 0.1 0.1
0.45 0.49 0.52 0.55 0.56 0.57 0.56 0.55 0.52 0.49 0.45
0.49 0.53 0.57 0.60 0.62 0.63 0.62 0.60 0.57 0.53 0.49
0.52 0.57 0.62 0.65 0.68 0.69 0.68 0.65 0.62 0.57 0.52
0.55 0.60 0.65 0.70 0.74 0.75 0.74 0.70 0.65 0.60 0.55
0.56 0.62 0.68 0.74 0.79 0.81 0.79 0.74 0.68 0.62 0.56
0.57 0.63 0.69 0.75 0.81 0.87 0.81 0.75 0.69 0.63 0.57
0.56 0.62 0.68 0.74 0.79 0.81 0.79 0.74 0.68 0.62 0.56
0.55 0.60 0.65 0.70 0.74 0.75 0.74 0.70 0.65 0.60 0.55
0.52 0.57 0.62 0.65 0.68 0.69 0.68 0.65 0.62 0.57 0.52
0.49 0.53 0.57 0.60 0.62 0.63 0.62 0.60 0.57 0.53 0.49
0.45 0.49 0.52 0.55 0.56 0.57 0.56 0.55 0.52 0.49 0.45
