-0.5 -0.5 0.1 0.1
0.58 0.65 0.71 0.75 0.78 0.79 0.78 0.75 0.71 0.65 0.58
0.65 0.73 0.79 0.85 0.89 0.90 0.89 0.85 0.79 0.73 0.65
0.71 0.79 0.87 0.94 0.99 1.00 0.99 0.94 0.87 0.79 0.71
0.75 0.85 0.94 1.02 1.08 1.11 1.08 1.02 0.94 0.85 0.75
0.78 0.89 0.99 1.08 1.17 1.21 1.17 1.08 0.99 0.89 0.78
0.79 0.90 1.00 1.11 1.21 1.32 1.21 1.11 1.00 0.90 0.79
0.78 0.89 0.99 1.08 1.17 1.21 1.17 1.08 0.99 0.89 0.78
0.75 0.85 0.94 1.02 1.08 1.11 1.08 1.02 0.94 0.85 0.75
0.71 0.79 0.87 0.94 0.99 1.00 0.99 0.94 0.87 0.79 0.71
0.65 0.73 0.79 0.85 0.89 0.90 0.89 0.85 0.79 0.73 0.65
0.58 0.65 0.71 0.75 0.78 0.79 0.78 0.75 0.71 0.65 0.58
