-0.5 -0.5 0.1 0.1
0.30 0.35 0.39 0.42 0.44 0.44 0.44 0.42 0.39 0.35 0.30
0.35 0.40 0.44 0.48 0.50 0.51 0.50 0.48 0.44 0.40 0.35
0.39 0.44 0.50 0.54 0.57 0.58 0.57 0.54 0.50 0.44 0.39
0.42 0.48 0.54 0.59 0.63 0.65 0.63 0.59 0.54 0.48 0.42
0.44 0.50 0.57 0.63 0.69 0.72 0.69 0.63 0.57 0.50 0.44
0.44 0.51 0.58 0.65 0.72 0.79 0.72 0.65 0.58 0.51 0.44
0.44 0.50 0.57 0.63 0.69 0.72 0.69 0.63 0.57 0.50 0.44
0.42 0.48 0.54 0.59 0.63 0.65 0.63 0.59 0.54 0.48 0.42
0.39 0.44 0.50 0.54 0.57 0.58 0.57 0.54 0.50 0.44 0.39
0.35 0.40 0.44 0.48 0.50 0.51 0.50 0.48 0.44 0.40 0.35
0.30 0.35 0.39 0.42 0.44 0.44 0.44 0.42 0.39 0.35 0.30
