-0.5 -0.5 0.1 0.1
0.31 0.36 0.40 0.43 0.45 0.46 0.45 0.43 0.40 0.36 0.31
0.36 0.41 0.46 0.50 0.52 0.53 0.52 0.50 0.46 0.41 0.36
0.40 0.46 0.51 0.56 0.59 0.60 0.59 0.56 0.51 0.46 0.40
0.43 0.50 0.56 0.62 0.66 0.68 0.66 0.62 0.56 0.50 0.43
0.45 0.52 0.59 0.66 0.72 0.75 0.72 0.66 0.59 0.52 0.45
0.46 0.53 0.60 0.68 0.75 0.82 0.75 0.68 0.60 0.53 0.46
0.45 0.52 0.59 0.66 0.72 0.75 0.72 0.66 0.59 0.52 0.45
0.43 0.50 0.56 0.62 0.66 0.68 0.66 0.62 0.56 0.50 0.43
0.40 0.46 0.51 0.56 0.59 0.60 0.59 0.56 0.51 0.46 0.40
0.36 0.41 0.46 0.50 0.52 0.53 0.52 0.50 0.46 0.41 0.36
0.31 0.36 0.40 0.43 0.45 0.46 0.45 0.43 0.40 0.36 0.31
