-0.5 -0.5 0.1 0.1
0.18 0.24 0.29 0.33 0.35 0.36 0.35 0.33 0.29 0.24 0.18
0.24 0.30 0.36 0.40 0.43 0.44 0.43 0.40 0.36 0.30 0.24
0.29 0.36 0.42 0.48 0.52 0.53 0.52 0.48 0.42 0.36 0.29
0.33 0.40 0.48 0.54 0.59 0.61 0.59 0.54 0.48 0.40 0.33
0.35 0.43 0.52 0.59 0.66 0.70 0.66 0.59 0.52 0.43 0.35
0.36 0.44 0.53 0.61 0.70 0.79 0.70 0.61 0.53 0.44 0.36
0.35 0.43 0.52 0.59 0.66 0.70 0.66 0.59 0.52 0.43 0.35
0.33 0.40 0.48 0.54 0.59 0.61 0.59 0.54 0.48 0.40 0.33
0.29 0.36 0.42 0.48 0.52 0.53 0.52 0.48 0.42 0.36 0.29
0.24 0.30 0.36 0.40 0.43 0.44 0.43 0.40 0.36 0.30 0.24
0.18 0.24 0.29 0.33 0.35 0.36 0.35 0.33 0.29 0.24 0.18
