-0.5 -0.5 0.1 0.1
0.29 0.33 0.37 0.40 0.41 0.42 0.41 0.40 0.37 0.33 0.29
0.33 0.38 0.42 0.45 0.48 0.48 0.48 0.45 0.42 0.38 0.33
0.37 0.42 0.47 0.51 0.54 0.55 0.54 0.51 0.47 0.42 0.37
0.40 0.45 0.51 0.56 0.60 0.61 0.60 0.56 0.51 0.45 0.40
0.41 0.48 0.54 0.60 0.65 0.68 0.65 0.60 0.54 0.48 0.41
0.42 0.48 0.55 0.61 0.68 0.74 0.68 0.61 0.55 0.48 0.42
0.41 0.48 0.54 0.60 0.65 0.68 0.65 0.60 0.54 0.48 0.41
0.40 0.45 0.51 0.56 0.60 0.61 0.60 0.56 0.51 0.45 0.40
0.37 0.42 0.47 0.51 0.54 0.55 0.54 0.51 0.47 0.42 0.37
0.33 0.38 0.42 0.45 0.48 0.48 0.48 0.45 0.42 0.38 0.33
0.29 0.33 0.37 0.40 0.41 0.42 0.41 0.40 0.37 0.33 0.29
