-0.5 -0.5 0.1 0.1
0.48 0.53 0.57 0.60 0.62 0.63 0.62 0.60 0.57 0.53 0.48
0.53 0.58 0.63 0.66 0.69 0.70 0.69 0.66 0.63 0.58 0.53
0.57 0.63 0.68 0.73 0.76 0.77 0.76 0.73 0.68 0.63 0.57
0.60 0.66 0.73 0.78 0.82 0.84 0.82 0.78 0.73 0.66 0.60
0.62 0.69 0.76 0.82 0.88 0.91 0.88 0.82 0.76 0.69 0.62
0.63 0.70 0.77 0.84 0.91 0.98 0.91 0.84 0.77 0.70 0.63
0.62 0.69 0.76 0.82 0.88 0.91 0.88 0.82 0.76 0.69 0.62
0.60 0.66 0.73 0.78 0.82 0.84 0.82 0.78 0.73 0.66 0.60
0.57 0.63 0.68 0.73 0.76 0.77 0.76 0.73 0.68 0.63 0.57
0.53 0.58 0.63 0.66 0.69 0.70 0.69 0.66 0.63 0.58 0.53
0.48 0.53 0.57 0.60 0.62 0.63 0.62 0.60 0.57 0.53 0.48
