-0.5 -0.5 0.1 0.1
0.20 0.22 0.24 0.25 0.26 0.26 0.26 0.25 0.24 0.22 0.20
0.22 0.24 0.26 0.28 0.29 0.30 0.29 0.28 0.26 0.24 0.22
0.24 0.26 0.29 0.31 0.32 0.33 0.32 0.31 0.29 0.26 0.24
0.25 0.28 0.31 0.34 0.35 0.36 0.35 0.34 0.31 0.28 0.25
0.26 0.29 0.32 0.35 0.38 0.40 0.38 0.35 0.32 0.29 0.26
0.26 0.30 0.33 0.36 0.40 0.43 0.40 0.36 0.33 0.30 0.26
0.26 0.29 0.32 0.35 0.38 0.40 0.38 0.35 0.32 0.29 0.26
0.25 0.28 0.31 0.34 0.35 0.36 0.35 0.34 0.31 0.28 0.25
0.24 0.26 0.29 0.31 0.32 0.33 0.32 0.31 0.29 0.26 0.24
0.22 0.24 0.26 0.28 0.29 0.30 0.29 0.28 0.26 0.24 0.22
0.20 0.22 0.24 0.25 0.26 0.26 0.26 0.25 0.24 0.22 0.20
