-0.5 -0.5 0.1 0.1
0.15 0.19 0.24 0.27 0.29 0.30 0.29 0.27 0.24 0.19 0.15
0.19 0.25 0.30 0.34 0.36 0.37 0.36 0.34 0.30 0.25 0.19
0.24 0.30 0.35 0.40 0.43 0.45 0.43 0.40 0.35 0.30 0.24
0.27 0.34 0.40 0.46 0.50 0.52 0.50 0.46 0.40 0.34 0.27
0.29 0.36 0.43 0.50 0.56 0.59 0.56 0.50 0.43 0.36 0.29
0.30 0.37 0.45 0.52 0.59 0.67 0.59 0.52 0.45 0.37 0.30
0.29 0.36 0.43 0.50 0.56 0.59 0.56 0.50 0.43 0.36 0.29
0.27 0.34 0.40 0.46 0.50 0.52 0.50 0.46 0.40 0.34 0.27
0.24 0.30 0.35 0.40 0.43 0.45 0.43 0.40 0.35 0.30 0.24
0.19 0.25 0.30 0.34 0.36 0.37 0.36 0.34 0.30 0.25 0.19
0.15 0.19 0.24 0.27 0.29 0.30 0.29 0.27 0.24 0.19 0.15
