-0.5 -0.5 0.1 0.1
0.09 0.13 0.16 0.18 0.20 0.21 0.20 0.18 0.16 0.13 0.09
0.13 0.17 0.21 0.24 0.25 0.26 0.25 0.24 0.21 0.17 0.13
0.16 0.21 0.25 0.28 0.31 0.32 0.31 0.28 0.25 0.21 0.16
0.18 0.24 0.28 0.33 0.36 0.37 0.36 0.33 0.28 0.24 0.18
0.20 0.25 0.31 0.36 0.40 0.43 0.40 0.36 0.31 0.25 0.20
0.21 0.26 0.32 0.37 0.43 0.48 0.43 0.37 0.32 0.26 0.21
0.20 0.25 0.31 0.36 0.40 0.43 0.40 0.36 0.31 0.25 0.20
0.18 0.24 0.28 0.33 0.36 0.37 0.36 0.33 0.28 0.24 0.18
0.16 0.21 0.25 0.28 0.31 0.32 0.31 0.28 0.25 0.21 0.16
0.13 0.17 0.21 0.24 0.25 0.26 0.25 0.24 0.21 0.17 0.13
0.09 0.13 0.16 0.18 0.20 0.21 0.20 0.18 0.16 0.13 0.09
