-0.5 -0.5 0.1 0.1
0.20 0.22 0.24 0.26 0.26 0.27 0.26 0.26 0.24 0.22 0.20
0.22 0.25 0.27 0.29 0.30 0.30 0.30 0.29 0.27 0.25 0.22
0.24 0.27 0.29 0.31 0.33 0.34 0.33 0.31 0.29 0.27 0.24
0.26 0.29 0.31 0.34 0.36 0.37 0.36 0.34 0.31 0.29 0.26
0.26 0.30 0.33 0.36 0.39 0.40 0.39 0.36 0.33 0.30 0.26
0.27 0.30 0.34 0.37 0.40 0.44 0.40 0.37 0.34 0.30 0.27
0.26 0.30 0.33 0.36 0.39 0.40 0.39 0.36 0.33 0.30 0.26
0.26 0.29 0.31 0.34 0.36 0.37 0.36 0.34 0.31 0.29 0.26
0.24 0.27 0.29 0.31 0.33 0.34 0.33 0.31 0.29 0.27 0.24
0.22 0.25 0.27 0.29 0.30 0.30 0.30 0.29 0.27 0.25 0.22
0.20 0.22 0.24 0.26 0.26 0.27 0.26 0.26 0.24 0.22 0.20
