-0.5 -0.5 0.1 0.1
0.20 0.23 0.25 0.26 0.27 0.28 0.27 0.26 0.25 0.23 0.20
0.23 0.25 0.28 0.29 0.31 0.31 0.31 0.29 0.28 0.25 0.23
0.25 0.28 0.30 0.33 0.34 0.35 0.34 0.33 0.30 0.28 0.25
0.26 0.29 0.33 0.35 0.37 0.38 0.37 0.35 0.33 0.29 0.26
0.27 0.31 0.34 0.37 0.40 0.42 0.40 0.37 0.34 0.31 0.27
0.28 0.31 0.35 0.38 0.42 0.45 0.42 0.38 0.35 0.31 0.28
0.27 0.31 0.34 0.37 0.40 0.42 0.40 0.37 0.34 0.31 0.27
0.26 0.29 0.33 0.35 0.37 0.38 0.37 0.35 0.33 0.29 0.26
0.25 0.28 0.30 0.33 0.34 0.35 0.34 0.33 0.30 0.28 0.25
0.23 0.25 0.28 0.29 0.31 0.31 0.31 0.29 0.28 0.25 0.23
0.20 0.23 0.25 0.26 0.27 0.28 0.27 0.26 0.25 0.23 0.20
